movie_id,movie_name,certificate,genre,description,directors,stars
tt0365125,A Dirty Shame,A,Comedy            ,"An uptight, middle-aged, repressed woman turns into a sex addict after getting hit on the head, and she then falls into an underground subculture of sex addicts in suburban Baltimore.",John Waters,"     Tracey Ullman, Chris Isaak, Selma Blair, Johnny Knoxville"
tt0340012,Being Julia,R,"Comedy, Drama, Romance            ","Set in 1930s London, this movie involves stage actors and actresses and their experiences with love and revenge.",István Szabó,"     Annette Bening, Michael Gambon, Maury Chaykin, Jeremy Irons"
tt1238291,Five Minutes of Heaven,R,"Drama, Thriller            ","The story of former UVF member Alistair Little. Twenty-five years after Little killed Joe Griffen's brother, the media arrange an auspicious meeting between the two.",Oliver Hirschbiegel,"     Liam Neeson, James Nesbitt, Anamaria Marinca, Mark Ryder"
tt0047522,A Star Is Born,U,"Drama, Musical, Romance            ","A film star helps a young singer and actress find fame, even as age and alcoholism send his own career on a downward spiral.",George Cukor,"     Judy Garland, James Mason, Jack Carson, Charles Bickford"
tt0161860,Nirgendwo in Afrika,R,"Biography, Drama, History            ",A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,Caroline Link,"     Juliane Köhler, Merab Ninidze, Matthias Habich, Sidede Onyulo"
tt0361925,Welcome to Mooseport,PG-13,"Comedy, Romance            ","A US president who has retired after two terms in office returns to his hometown of Mooseport, Maine and decides to run for Mayor against another local candidate.",Donald Petrie,"     Gene Hackman, Ray Romano, Maura Tierney, Marcia Gay Harden"
tt0093857,Revenge of the Nerds II: Nerds in Paradise,U,Comedy            ,"The rising college nerds set out to a convention in Florida, but are not welcomed by the Alpha Beta representatives.",Joe Roth,"     Robert Carradine, Curtis Armstrong, Larry B. Scott, Timothy Busfield"
tt0961108,Fireflies in the Garden,R,Drama            ,The Taylor family is devastated by an accident that takes place on the day their matriarch is due to graduate from college -- decades after leaving to raise her children.,Dennis Lee,"     Ryan Reynolds, Willem Dafoe, Emily Watson, Carrie-Anne Moss"
tt0102426,Mediterraneo,R,"Comedy, Drama, War            ","In WW2, an Italian Army unit of misfits occupies an isolated non-strategic Greek island for the duration of the war.",Gabriele Salvatores,"     Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna, Claudio Bisio"
tt0995031,Bhool Bhulaiyaa,UA,"Comedy, Horror, Mystery            ","An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.",Priyadarshan,"     Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel"
